category,series_name,tile_type,color,surface,size_cm,size_inches,sku_code,application,suitable_for,unnamed:_10,embedding_text,page_number,image_path
Metal,Mimesis Decor,Porcelain Tiles,Ivory,Matt,60x120,"23.62""x47.24""",A12GMIMS-IVO.MGX5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Ivory color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Rust,Matt,60x120,"23.62""x47.24""",A12GMIMS-RST.MGX5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Rust color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_RUST.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Anthracite,Matt,60x60,"23.62""x23.62""",A06GMIMS-ANT.MGX0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Anthracite color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_ANTHRACITE_DECOR.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Grey,Matt,60x60,"23.62""x23.62""",A06GMIMS-GRY.MGX0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Ivory,Matt,60x60,"23.62""x23.62""",A06GMIMS-IVO.MGX0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Ivory color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Rust,Matt,60x60,"23.62""x23.62""",A06GMIMS-RST.MGX0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Rust color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_RUST.jpeg
Resin,Rhode Island,Porcelain Tiles,Anthracite,Matt,60x120,"23.62""x47.24""",A12GRDIL-ANT.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Anthracite color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_ANTHRACITE.jpeg
Resin,Rhode Island,Porcelain Tiles,Beige,Matt,60x120,"23.62""x47.24""",A12GRDIL-BEE.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_BEIGE.jpeg
Resin,Rhode Island,Porcelain Tiles,Clay,Matt,60x120,"23.62""x47.24""",A12GRDIL-CLA.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Clay color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_CLAY.jpeg
Resin,Rhode Island,Porcelain Tiles,Dark Grey,Matt,60x120,"23.62""x47.24""",A12GRDIL-DKG.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Dark Grey color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_DARK_GREY.jpeg
Resin,Rhode Island,Porcelain Tiles,Ivory,Matt,60x120,"23.62""x47.24""",A12GRDIL-IVO.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Ivory color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_IVORY.jpeg
Resin,Rhode Island,Porcelain Tiles,Light Grey,Matt,60x120,"23.62""x47.24""",A12GRDIL-LIG.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Light Grey color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_LIGHT_GREY.jpeg
Resin,Rhode Island,Porcelain Tiles,White,Matt,60x120,"23.62""x47.24""",A12GRDIL-WHE.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in White color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_WHITE.jpeg
Resin,Rhode Island,Porcelain Tiles,Anthracite,Matt,60x60,"23.62""x23.62""",A06GRDIL-ANT.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Anthracite color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_ANTHRACITE.jpeg
Resin,Rhode Island,Porcelain Tiles,Beige,Matt,60x60,"23.62""x23.62""",A06GRDIL-BEE.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_BEIGE.jpeg
Resin,Rhode Island,Porcelain Tiles,Clay,Matt,60x60,"23.62""x23.62""",A06GRDIL-CLA.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Clay color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_CLAY.jpeg
Resin,Rhode Island,Porcelain Tiles,Dark Grey,Matt,60x60,"23.62""x23.62""",A06GRDIL-DKG.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Dark Grey color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_DARK_GREY.jpeg
Resin,Rhode Island,Porcelain Tiles,Ivory,Matt,60x60,"23.62""x23.62""",A06GRDIL-IVO.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Ivory color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",21,./extracted_images/RHODE_ISLAND_IVORY.jpeg
